income_expenditure_difference,income,working_agency,total_expenses,type_of_residence,bank_product,total_income,loan_term,salary_allowance,number_of_products_in_use,casa_balance,customer_segment,marital_status,number_of_dependents,age,term_deposit_balance,educational_level,insurance,position,number_of_non_credit_products,housing,debt_repayment_source,work_tenure,bank_debt_balance,number_of_banks_with_outstanding_debt,loan_amount,expected_loan_interest,labor_contract,duration_of_relationship_with_the_bank,proposed_term,economic_sector,debt_group_information,overdue_history,result,event_timestamp,id
15200000.0,18200000.0,cq hanh chi su nghiep,3000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18200000.0,36.0,6200000.0,0,6368264.0,khach hang cap 1,da ket hon,0,41,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong va loi nhuan tu kinh doanh,60.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",3,36.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,36
450000.0,11200000.0,cq hanh chi su nghiep,10750000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,11200000.0,12.0,11200000.0,2,260068780.0,khach hang cap 1,da ket hon,0,37,0.0,dai hoc,khong co thong tin,nhan vien,4,so huu 1 phan,luong,189.0,35000000.0,1,35000000.0,0.0,"cong chuc, vien chuc",7,12.0,y te,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,37
16700000.0,19700000.0,cq hanh chi su nghiep,3000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,19700000.0,12.0,9700000.0,0,2199453.0,khach hang cap 1,doc than,0,42,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,5,so huu toan bo,luong va nguon khac,240.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",0,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,38
4700000.0,9000000.0,cq hanh chi su nghiep,4300000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,9000000.0,12.0,7000000.0,1,2760044.0,khach hang cap 1,doc than,2,29,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,5,so huu 1 phan,luong va nguon khac,60.0,40000000.0,0,40000000.0,300000.0,hop dong khong xac dinh thoi han,2,12.0,y te,khong co thong tin,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,39
38048199.0,78698199.0,doanh nghiep tu nhan,40650000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,78698199.0,0.0,28698199.0,1,148642.0,khach hang cap 2,da ket hon,0,39,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,6,so huu toan bo,luong va nguon khac,84.0,70000000.0,4,70000000.0,0.0,hop dong khong xac dinh thoi han,1,0.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,40
13335801.0,21835801.0,cq hanh chi su nghiep,8500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,21835801.0,12.0,7835801.0,0,4572600.0,khach hang cap 1,da ket hon,2,29,0.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu 1 phan,hon hop,84.0,50000000.0,0,50000000.0,500000.0,"cong chuc, vien chuc",2,12.0,giao dich,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,41
10179758.0,20179758.0,cq hanh chi su nghiep,10000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,20179758.0,12.0,10179758.0,0,50527138.0,khach hang cap 1,doc than,0,43,0.0,dai hoc,khong co thong tin,chuyen vien,0,so huu toan bo,luong,300.0,45000000.0,0,45000000.0,0.0,"cong chuc, vien chuc",0,12.0,giao dich,khong co thong tin,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,42
13810000.0,36300000.0,cq hanh chi su nghiep,22490000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,36300000.0,12.0,11300000.0,1,82997.0,khach hang cap 1,da ket hon,0,51,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,3,so huu toan bo,luong va nguon khac,336.0,50000000.0,2,50000000.0,490000.0,"cong chuc, vien chuc",7,12.0,van phong,chi co no nhom 1,da tung qua han nhom 2,BBB,2024-04-19 18:29:54.409172+00:00,43
37500000.0,50000000.0,loai hinh khac,12500000.0,ho khau thuong tru,co tien gui ky han,50000000.0,0.0,50000000.0,0,407067775.0,khach hang cap 5,da ket hon,0,38,7000000000.0,dai hoc,nhieu hon 1 loai bao hiem,loai hinh khac,5,so huu toan bo,nguon khac,240.0,100000000.0,0,100000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,tieu thuong,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,44
37000000.0,73000000.0,loai hinh khac,36000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,73000000.0,0.0,73000000.0,1,742533.25,khach hang cap 1,da ket hon,2,35,0.0,trung cap,nhieu hon 1 loai bao hiem,lanh dao cao cap,4,so huu toan bo,loi nhuan tu kinh doanh,36.0,15000000.0,0,15000000.0,0.0,hop dong khong xac dinh thoi han,2,0.0,thuc pham,khong co du no,da co quan he nhung chua tung qua han,BB,2024-04-19 18:29:54.409172+00:00,45
24900000.0,28900000.0,cq hanh chi su nghiep,4000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,28900000.0,12.0,10900000.0,1,85365.0,khach hang cap 1,da ket hon,0,45,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,2,so huu toan bo,luong,147.0,80000000.0,0,80000000.0,0.0,"cong chuc, vien chuc",0,12.0,giao dich,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,46
5118300.0,18010800.0,cq hanh chi su nghiep,12892500.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18010800.0,60.0,8010800.0,0,28632147.0,khach hang cap 1,da ket hon,1,32,0.0,dai hoc,bao hien nhan tho,chuyen vien,5,so huu toan bo,luong,84.0,170000000.0,1,170000000.0,4337500.0,"cong chuc, vien chuc",3,60.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,47
25551515.0,28551515.0,doanh nghiep nha nuoc duoi 50% von dieu le,3000000.0,tam tru dai han,co tien gui thanh toan hoac sp khac,28551515.0,0.0,23551515.0,0,504265.0,khach hang cap 1,doc than,0,27,0.0,trung hoc pho thong,bao hiem tai nan,nhan vien,0,thue,luong va nguon khac,48.0,20000000.0,0,20000000.0,0.0,hop dong duoi 12 thang,0,0.0,xay dung,chi co no nhom 1,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,48
25839907.0,32189907.0,cq hanh chi su nghiep,6350000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,32189907.0,12.0,7689907.0,1,1247795.0,khach hang cap 2,da ket hon,1,34,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,5,so huu toan bo,luong,138.0,40000000.0,1,40000000.0,0.0,"cong chuc, vien chuc",7,12.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,49
6800000.0,16400000.0,doanh nghiep tu nhan,9600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,16400000.0,0.0,16400000.0,0,7173478.0,khach hang cap 1,da ket hon,1,40,0.0,dai hoc,bao hiem khac,lanh dao phong,3,so huu toan bo,luong,22.0,35000000.0,1,35000000.0,0.0,hop dong khong xac dinh thoi han,1,0.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,50
